id,env,gen,yield,resid,MaxT,MinT,Rain,RH,tau3,zeta16,Rstc,rho2,rho12,xi16
70,E5,G2,8,-0.52,-2,3,21,20,0.0092,-0.0839,-13,-0.0038,0.2614,0.2320
71,E5,G3,9,0.06,-2,3,21,20,0.0092,-0.0839,-37,-0.0053,0.3335,0.3073
72,E5,G4,8,-0.69,-2,3,21,20,0.0092,-0.0839,34,0.0041,-0.2899,-0.3620
73,E5,G5,9,-0.02,-2,3,21,20,0.0092,-0.0839,-5,-0.0023,0.1635,0.1991
74,E5,G6,8,-0.77,-2,3,21,20,0.0092,-0.0839,25,0.0002,-0.0297,-0.0792
75,E5,G7,9,-0.69,-2,3,21,20,0.0092,-0.0839,-32,-0.0025,0.1780,0.1522
76,E5,G8,11,0.56,-2,3,21,20,0.0092,-0.0839,-7,0.0017,-0.1037,-0.1038
77,E5,G9,9,-0.36,-2,3,21,20,0.0092,-0.0839,-24,-0.0024,0.1538,0.1169
78,E5,G10,9,0.06,-2,3,21,20,0.0092,-0.0839,2,0.0014,-0.0795,0.0564
79,E5,G11,9,0.64,-2,3,21,20,0.0092,-0.0839,16,0.0010,-0.0347,-0.0748
80,E5,G12,8,-0.44,-2,3,21,20,0.0092,-0.0839,8,0.0011,-0.0737,-0.0438
81,E5,G13,8,-0.77,-2,3,21,20,0.0092,-0.0839,-13,0.0012,-0.0900,-0.2335
82,E5,G14,10,0.73,-2,3,21,20,0.0092,-0.0839,11,0.0043,-0.2351,-0.1182
83,E5,G15,11,1.48,-2,3,21,20,0.0092,-0.0839,39,0.0069,-0.4850,-0.4306
84,E5,G16,8,-0.27,-2,3,21,20,0.0092,-0.0839,14,0.0008,-0.0840,-0.1441
85,E5,G17,9,0.98,-2,3,21,20,0.0092,-0.0839,23,0.0019,-0.1373,-0.0558
86,E6,G1,7,-0.12,-10,-10,41,18,0.0112,-0.3009,-41,-0.0082,0.5525,0.5820
87,E6,G2,8,1.30,-10,-10,41,18,0.0112,-0.3009,-13,-0.0038,0.2614,0.2320
88,E6,G3,6,-1.12,-10,-10,41,18,0.0112,-0.3009,-37,-0.0053,0.3335,0.3073
89,E6,G4,8,1.13,-10,-10,41,18,0.0112,-0.3009,34,0.0041,-0.2899,-0.3620
90,E6,G5,6,-1.20,-10,-10,41,18,0.0112,-0.3009,-5,-0.0023,0.1635,0.1991
91,E6,G6,7,0.05,-10,-10,41,18,0.0112,-0.3009,25,0.0002,-0.0297,-0.0792
92,E6,G7,7,-0.87,-10,-10,41,18,0.0112,-0.3009,-32,-0.0025,0.1780,0.1522
93,E6,G8,9,0.38,-10,-10,41,18,0.0112,-0.3009,-7,0.0017,-0.1037,-0.1038
94,E6,G9,7,-0.53,-10,-10,41,18,0.0112,-0.3009,-24,-0.0024,0.1538,0.1169
95,E6,G10,6,-1.12,-10,-10,41,18,0.0112,-0.3009,2,0.0014,-0.0795,0.0564
96,E6,G11,7,0.47,-10,-10,41,18,0.0112,-0.3009,16,0.0010,-0.0347,-0.0748
97,E6,G12,7,0.38,-10,-10,41,18,0.0112,-0.3009,8,0.0011,-0.0737,-0.0438
98,E6,G13,9,2.05,-10,-10,41,18,0.0112,-0.3009,-13,0.0012,-0.0900,-0.2335
99,E6,G14,7,-0.45,-10,-10,41,18,0.0112,-0.3009,11,0.0043,-0.2351,-0.1182
100,E6,G15,9,1.30,-10,-10,41,18,0.0112,-0.3009,39,0.0069,-0.4850,-0.4306
101,E6,G16,6,-0.45,-10,-10,41,18,0.0112,-0.3009,14,0.0008,-0.0840,-0.1441
102,E6,G17,5,-1.20,-10,-10,41,18,0.0112,-0.3009,23,0.0019,-0.1373,-0.0558
103,E7,G1,2,-1.41,0,14,111,13,0.0202,-0.3695,-41,-0.0082,0.5525,0.5820
104,E7,G2,2,-1.00,0,14,111,13,0.0202,-0.3695,-13,-0.0038,0.2614,0.2320
105,E7,G3,4,0.59,0,14,111,13,0.0202,-0.3695,-37,-0.0053,0.3335,0.3073
106,E7,G4,5,1.84,0,14,111,13,0.0202,-0.3695,34,0.0041,-0.2899,-0.3620
107,E7,G5,3,-0.50,0,14,111,13,0.0202,-0.3695,-5,-0.0023,0.1635,0.1991
108,E7,G6,3,-0.25,0,14,111,13,0.0202,-0.3695,25,0.0002,-0.0297,-0.0792
109,E7,G7,4,-0.16,0,14,111,13,0.0202,-0.3695,-32,-0.0025,0.1780,0.1522
110,E7,G8,4,-0.91,0,14,111,13,0.0202,-0.3695,-7,0.0017,-0.1037,-0.1038
111,E7,G9,3,-0.83,0,14,111,13,0.0202,-0.3695,-24,-0.0024,0.1538,0.1169
112,E7,G10,3,-0.41,0,14,111,13,0.0202,-0.3695,2,0.0014,-0.0795,0.0564
113,E7,G11,3,0.17,0,14,111,13,0.0202,-0.3695,16,0.0010,-0.0347,-0.0748
114,E7,G12,3,0.09,0,14,111,13,0.0202,-0.3695,8,0.0011,-0.0737,-0.0438
115,E7,G13,4,0.75,0,14,111,13,0.0202,-0.3695,-13,0.0012,-0.0900,-0.2335
116,E7,G14,3,-0.75,0,14,111,13,0.0202,-0.3695,11,0.0043,-0.2351,-0.1182
117,E7,G15,5,1.00,0,14,111,13,0.0202,-0.3695,39,0.0069,-0.4850,-0.4306
118,E7,G16,4,1.25,0,14,111,13,0.0202,-0.3695,14,0.0008,-0.0840,-0.1441
119,E7,G17,3,0.50,0,14,111,13,0.0202,-0.3695,23,0.0019,-0.1373,-0.0558
120,E8,G1,7,0.06,-8,1,91,4,0.0083,-0.1516,-41,-0.0082,0.5525,0.5820
121,E8,G2,6,-0.52,-8,1,91,4,0.0083,-0.1516,-13,-0.0038,0.2614,0.2320
122,E8,G3,6,-0.94,-8,1,91,4,0.0083,-0.1516,-37,-0.0053,0.3335,0.3073
123,E8,G4,7,0.31,-8,1,91,4,0.0083,-0.1516,34,0.0041,-0.2899,-0.3620
124,E8,G5,6,-1.02,-8,1,91,4,0.0083,-0.1516,-5,-0.0023,0.1635,0.1991
125,E8,G6,8,1.23,-8,1,91,4,0.0083,-0.1516,25,0.0002,-0.0297,-0.0792
126,E8,G7,8,0.31,-8,1,91,4,0.0083,-0.1516,-32,-0.0025,0.1780,0.1522
127,E8,G8,9,0.56,-8,1,91,4,0.0083,-0.1516,-7,0.0017,-0.1037,-0.1038
128,E8,G9,7,-0.36,-8,1,91,4,0.0083,-0.1516,-24,-0.0024,0.1538,0.1169
129,E8,G10,7,0.06,-8,1,91,4,0.0083,-0.1516,2,0.0014,-0.0795,0.0564
130,E8,G11,5,-1.36,-8,1,91,4,0.0083,-0.1516,16,0.0010,-0.0347,-0.0748
131,E8,G12,8,1.56,-8,1,91,4,0.0083,-0.1516,8,0.0011,-0.0737,-0.0438
132,E8,G13,7,0.23,-8,1,91,4,0.0083,-0.1516,-13,0.0012,-0.0900,-0.2335
133,E8,G14,7,-0.27,-8,1,91,4,0.0083,-0.1516,11,0.0043,-0.2351,-0.1182
134,E8,G15,8,0.48,-8,1,91,4,0.0083,-0.1516,39,0.0069,-0.4850,-0.4306
135,E8,G16,6,-0.27,-8,1,91,4,0.0083,-0.1516,14,0.0008,-0.0840,-0.1441
136,E8,G17,6,-0.02,-8,1,91,4,0.0083,-0.1516,23,0.0019,-0.1373,-0.0558
137,E9,G1,8,0.71,-7,-5,-99,-37,-0.0174,0.2259,-41,-0.0082,0.5525,0.5820
138,E9,G2,7,0.12,-7,-5,-99,-37,-0.0174,0.2259,-13,-0.0038,0.2614,0.2320
139,E9,G3,7,-0.29,-7,-5,-99,-37,-0.0174,0.2259,-37,-0.0053,0.3335,0.3073
140,E9,G4,7,-0.04,-7,-5,-99,-37,-0.0174,0.2259,34,0.0041,-0.2899,-0.3620
141,E9,G5,8,0.62,-7,-5,-99,-37,-0.0174,0.2259,-5,-0.0023,0.1635,0.1991
142,E9,G6,7,-0.13,-7,-5,-99,-37,-0.0174,0.2259,25,0.0002,-0.0297,-0.0792
143,E9,G7,9,0.96,-7,-5,-99,-37,-0.0174,0.2259,-32,-0.0025,0.1780,0.1522
144,E9,G8,9,0.21,-7,-5,-99,-37,-0.0174,0.2259,-7,0.0017,-0.1037,-0.1038
145,E9,G9,9,1.29,-7,-5,-99,-37,-0.0174,0.2259,-24,-0.0024,0.1538,0.1169
146,E9,G10,6,-1.29,-7,-5,-99,-37,-0.0174,0.2259,2,0.0014,-0.0795,0.0564
147,E9,G11,7,0.29,-7,-5,-99,-37,-0.0174,0.2259,16,0.0010,-0.0347,-0.0748
148,E9,G12,6,-0.79,-7,-5,-99,-37,-0.0174,0.2259,8,0.0011,-0.0737,-0.0438
149,E9,G13,7,-0.13,-7,-5,-99,-37,-0.0174,0.2259,-13,0.0012,-0.0900,-0.2335
150,E9,G14,8,0.37,-7,-5,-99,-37,-0.0174,0.2259,11,0.0043,-0.2351,-0.1182
151,E9,G15,6,-1.88,-7,-5,-99,-37,-0.0174,0.2259,39,0.0069,-0.4850,-0.4306
152,E9,G16,7,0.37,-7,-5,-99,-37,-0.0174,0.2259,14,0.0008,-0.0840,-0.1441
153,E9,G17,6,-0.38,-7,-5,-99,-37,-0.0174,0.2259,23,0.0019,-0.1373,-0.0558
154,E10,G1,6,-2.71,-18,-18,291,-6,0.0308,-0.4894,-41,-0.0082,0.5525,0.5820
155,E10,G2,7,-1.29,-18,-18,291,-6,0.0308,-0.4894,-13,-0.0038,0.2614,0.2320
156,E10,G3,7,-1.71,-18,-18,291,-6,0.0308,-0.4894,-37,-0.0053,0.3335,0.3073
157,E10,G4,9,0.54,-18,-18,291,-6,0.0308,-0.4894,34,0.0041,-0.2899,-0.3620
158,E10,G5,9,0.21,-18,-18,291,-6,0.0308,-0.4894,-5,-0.0023,0.1635,0.1991
159,E10,G6,8,-0.54,-18,-18,291,-6,0.0308,-0.4894,25,0.0002,-0.0297,-0.0792
160,E10,G7,9,-0.46,-18,-18,291,-6,0.0308,-0.4894,-32,-0.0025,0.1780,0.1522
161,E10,G8,11,0.79,-18,-18,291,-6,0.0308,-0.4894,-7,0.0017,-0.1037,-0.1038
162,E10,G9,9,-0.12,-18,-18,291,-6,0.0308,-0.4894,-24,-0.0024,0.1538,0.1169
163,E10,G10,10,1.29,-18,-18,291,-6,0.0308,-0.4894,2,0.0014,-0.0795,0.0564
164,E10,G11,9,0.88,-18,-18,291,-6,0.0308,-0.4894,16,0.0010,-0.0347,-0.0748
165,E10,G12,8,-0.21,-18,-18,291,-6,0.0308,-0.4894,8,0.0011,-0.0737,-0.0438
166,E10,G13,8,-0.54,-18,-18,291,-6,0.0308,-0.4894,-13,0.0012,-0.0900,-0.2335
167,E10,G14,12,2.96,-18,-18,291,-6,0.0308,-0.4894,11,0.0043,-0.2351,-0.1182
168,E10,G15,10,0.71,-18,-18,291,-6,0.0308,-0.4894,39,0.0069,-0.4850,-0.4306
169,E10,G16,8,-0.04,-18,-18,291,-6,0.0308,-0.4894,14,0.0008,-0.0840,-0.1441
170,E10,G17,8,0.21,-18,-18,291,-6,0.0308,-0.4894,23,0.0019,-0.1373,-0.0558
171,E11,G1,5,-0.53,13,13,-119,-24,-0.0152,0.1739,-41,-0.0082,0.5525,0.5820
172,E11,G2,5,-0.11,13,13,-119,-24,-0.0152,0.1739,-13,-0.0038,0.2614,0.2320
173,E11,G3,6,0.47,13,13,-119,-24,-0.0152,0.1739,-37,-0.0053,0.3335,0.3073
